Date,Open,High,Low,Close,Vol,OI
8/14/08,971.4,981.3,948.9,952.9,151650,230665
8/15/08,950.7,951,916.1,930.5,141680,225786
8/18/08,933.9,948.3,933.5,944.1,97224,223486
8/19/08,943.3,961.3,925.9,955.2,129207,225467
8/20/08,957.8,962.9,943.6,954.7,120028,227924
8/21/08,957,983.4,955,977.4,119076,228503
8/22/08,979.5,982,964.5,971.9,93845,227820
8/25/08,969.5,970.3,959.5,964.1,76769,227465
8/26/08,965.7,974.4,950.4,966.5,123035,228831
8/27/08,967.7,979.8,964.4,972.4,97701,230868
8/28/08,970.4,988.1,968.9,975.6,127124,233639
8/29/08,977.3,982.6,972.8,973.6,28450,233002
9/2/08,980.6,981.2,933.6,948.9,183924,232338
9/3/08,948.6,951.9,932.1,946.6,119627,231775
9/4/08,944.8,957.9,936.5,941.6,126894,234144
9/5/08,939.4,962.6,933.2,941.2,168052,234395
9/8/08,954,961.3,939.2,940.9,139654,235317
9/9/08,945.3,947.9,918.1,930.4,191241,240820
9/10/08,919.1,926.1,893.5,918.9,139935,232999
9/11/08,894.2,900.4,878.2,883.9,172116,235712
9/12/08,891.1,908.9,887.6,902.9,139935,238891
9/15/08,911.6,929.8,905.8,925.4,159813,246138
9/16/08,929.7,932,913.6,918.9,147717,242034
9/17/08,919.9,1011.3,915.9,988.9,281744,247980
9/18/08,1004.9,1064.4,974.4,1035.4,277345,242166
9/19/08,994.4,1019.8,966.9,1003.1,160960,240891
9/22/08,1013,1052.2,1004.6,1047.4,164425,237200
9/23/08,1044.4,1053.6,1023.4,1029.6,137657,227854
9/24/08,1034.8,1046.2,1018.8,1033.4,120981,227828
9/25/08,1027.9,1041.9,1007.2,1020.4,153486,222656
9/26/08,1020.9,1058.5,1009.6,1026.9,149375,229414
9/29/08,1016.4,1070.4,1010.6,1032.8,174567,230988
9/30/08,1049.4,1058.6,998.5,1019.2,130516,218300
10/1/08,1015.3,1037.1,1008,1025.7,112218,219862
10/2/08,1014.6,1020,971.9,982.7,141292,213600
10/3/08,979.4,991.1,960.9,971.6,127807,208622
10/6/08,974.4,1017.4,966.8,1004.6,124298,204662
10/7/08,997.5,1032.1,996.4,1020.4,110634,208601
10/8/08,1029.3,1063.3,1018.5,1044.9,158281,203870
10/9/08,1048.6,1067.4,1021.3,1024.9,94434,215074
10/10/08,1053.6,1074.7,967.4,997.4,201284,215144
10/13/08,994.2,1013.4,962.9,980.9,98189,202462
10/14/08,973.6,995.8,972,977.9,86060,204302
10/15/08,976.3,997.6,971.5,977.4,89365,201981
10/16/08,989.4,990.5,925.1,942.9,125919,208662
10/17/08,945.8,955.3,910.6,926.1,95999,203697
10/20/08,923,950.2,921.2,928.4,70467,199297
10/21/08,936.4,943.4,904.8,906.4,95961,196308
10/22/08,912,916.3,858.4,873.6,133500,195844
10/23/08,868.4,873.6,833.6,853.1,128582,198111
10/24/08,863.1,888.8,819.4,868.7,132625,195431
10/27/08,873.5,886.2,845.4,881.3,98477,189222
10/28/08,869.6,894.5,862.5,878.9,90224,187643
10/29/08,885.5,913.7,874.4,892.4,109944,189851
10/30/08,895.9,916.7,871.4,876.9,102401,191101
10/31/08,875.8,880.9,855.5,856.6,90355,190140
11/3/08,865.4,877.9,860.2,865.2,65520,186878
11/4/08,862.3,907.7,860.2,895.7,91962,181983
11/5/08,908.4,908.4,874.1,880.8,105145,178605
11/6/08,876.8,899.7,865.9,870.6,109417,177404
11/7/08,872.9,883.3,863.9,872.6,74850,172533
11/10/08,878.2,907.3,876.8,884.9,105848,164611
11/11/08,883.4,888.3,864.4,871.2,90985,153457
11/12/08,870.7,876.8,846.7,856.7,99864,146089
11/13/08,846.8,877.6,836.6,843.4,128540,144895
11/14/08,872.4,892.4,862.4,880.9,106112,128634
11/17/08,878.4,887.1,868,880.4,77555,122902
11/18/08,875.3,884,868.7,871.1,77024,118260
11/19/08,876.2,903.2,869.8,874.4,125831,109221
11/20/08,873.6,891.8,871,887.1,105730,98080
